,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
173,1662599760.078006,stand,1,0,0,-70,0,0,0,82
174,1662599760.199069,stand,1,0,0,-70,0,0,0,82
175,1662599760.302767,stand,1,0,0,-60,0,0,0,82
176,1662599760.40113,stand,1,0,0,-60,0,0,0,82
177,1662599760.4811363,stand,1,0,0,-60,0,0,0,82
178,1662599760.5680757,stand,1,0,0,-60,0,0,0,82
179,1662599760.7278175,stand,1,0,0,-60,0,0,0,82
180,1662599760.801499,stand,1,0,0,-60,0,0,0,82
181,1662599760.8994038,stand,1,0,0,-60,0,0,0,82
182,1662599761.0170996,stand,1,0,0,-60,0,0,0,82
183,1662599761.1137822,stand,1,0,0,-60,0,0,0,82
184,1662599761.1966102,stand,1,0,0,-60,0,0,0,82
185,1662599761.3132107,stand,1,0,0,-60,0,0,0,82
186,1662599761.3796518,stand,1,0,0,-60,0,0,0,82
187,1662599761.5158834,stand,1,0,0,-60,0,0,0,82
188,1662599761.6152835,stand,1,0,0,-60,0,0,0,82
189,1662599761.7067509,stand,1,0,0,-60,0,0,0,82
190,1662599761.7979047,stand,1,0,0,-60,0,0,0,82
191,1662599761.8542767,stand,1,0,0,-60,0,0,0,82
192,1662599761.9320014,stand,0,0,0,-60,0,0,0,82
193,1662599761.9992185,stand,0,0,0,-60,0,0,0,82
194,1662599762.0989017,stand,1,0,0,-60,0,0,0,82
195,1662599762.1754124,stand,1,0,0,-60,0,0,0,82
196,1662599762.2124796,stand,1,0,0,-60,0,0,0,82
197,1662599762.2795453,stand,1,0,0,-60,0,0,0,82
198,1662599762.3811662,stand,1,0,0,-60,0,0,0,82
199,1662599762.4463186,stand,1,0,0,-60,0,0,0,82
200,1662599762.6328535,stand,1,0,0,-60,0,0,0,82
201,1662599762.669779,stand,1,0,0,-60,0,0,0,82
202,1662599762.747913,stand,1,0,0,-60,0,0,0,82
203,1662599762.831101,stand,1,0,0,-60,0,0,0,82
204,1662599762.8892741,stand,1,0,0,-60,0,0,0,82
205,1662599763.0079727,stand,1,0,0,-60,0,0,0,82
206,1662599763.1299717,LEFT,1,0,0,-60,0,0,0,82
207,1662599763.1855714,stand,1,0,0,-60,0,0,0,82
208,1662599763.465406,stand,1,0,-2,-60,0,0,0,82
209,1662599763.5659766,stand,1,0,-2,-60,0,0,0,82
210,1662599763.6321256,stand,1,0,-2,-60,0,0,0,82
211,1662599763.7061188,stand,1,0,-2,-60,0,0,0,82
212,1662599763.849633,stand,1,0,-2,-60,0,0,0,82
213,1662599763.9342875,stand,1,0,-2,-60,0,0,0,82
214,1662599764.021453,stand,1,0,-2,-60,0,0,0,82
